Clave,Grupo,Curso,Hrs/semana,Preferencia,mins,maxs
AL,1A,ALGEBRA LINEAL,6,S10 S7 S6 S9 S15,1,2
AL,1B,ALGEBRA LINEAL,6,S6 S10 S7 S9 S15,1,2
AL,1C,ALGEBRA LINEAL,6,S9 S10 S6 S7 S15,1,2
AL,1D,ALGEBRA LINEAL,6,S15 S10 S6 S9 S7,1,2
VS,1A,VALORES DEL SER,3,S10 S7 S6 S9 S15,1,2
VS,1B,VALORES DEL SER,3,S6 S10 S7 S9 S15,1,2
VS,1C,VALORES DEL SER,3,S9 S10 S6 S7 S15,1,2
VS,1D,VALORES DEL SER,3,S15 S10 S6 S9 S7,1,2
CCS,1A,CALIDAD EN LA CADENA DE SUMINISTRO,5,LC,1,2
CCS,1B,CALIDAD EN LA CADENA DE SUMINISTRO,5,LC,1,2
CCS,1C,CALIDAD EN LA CADENA DE SUMINISTRO,5,LC,1,2
CCS,1D,CALIDAD EN LA CADENA DE SUMINISTRO,5,LC,1,2
PE,1A,PROBABILIDAD Y ESTADISTICA,5,S15,1,2
PE,1B,PROBABILIDAD Y ESTADISTICA,5,LL,1,2
PE,1C,PROBABILIDAD Y ESTADISTICA,5,S9 S7 S10 S6 S15,1,2
PE,1D,PROBABILIDAD Y ESTADISTICA,5,S4 S15 S10 S6 S9 ,1,2
APE,1A,ADMINISTRACION Y PRINCIPIOS DE ECONOMIA,5,S10 S7 S6 S9 S15,1,2
APE,1B,ADMINISTRACION Y PRINCIPIOS DE ECONOMIA,5,S6 S10 S7 S9 S15,1,2
APE,1C,ADMINISTRACION Y PRINCIPIOS DE ECONOMIA,5,S9 S10 S6 S7 S15,1,2
APE,1D,ADMINISTRACION Y PRINCIPIOS DE ECONOMIA,5,S15 S10 S6 S9 S7,1,2
FCS,1A,FUNDAMENTOS EN LA CADENA DEL SUMINISTRO,5,S15 S10 S6 S9 S7,1,2
FCS,1B,FUNDAMENTOS EN LA CADENA DEL SUMINISTRO,5,S6 S10 S7 S9 S15,1,2
FCS,1C,FUNDAMENTOS EN LA CADENA DEL SUMINISTRO,5,S9 LC LL,1,2
FCS,1D,FUNDAMENTOS EN LA CADENA DEL SUMINISTRO,5,S15 S10 S6 S9 S7,1,2
TGTI1,1A,TUTORIA GRUPAL E INDIVIDUAL,2,S3 S10 S6 S9 S15,1,1
TGTI1,1B,TUTORIA GRUPAL E INDIVIDUAL,2,S9 S10 S6 S7 S15,1,1
TGTI1,1C,TUTORIA GRUPAL E INDIVIDUAL,2,S9 S10 S6 S7 S15,1,1
TGTI1,1D,TUTORIA GRUPAL E INDIVIDUAL,2,LC,1,1
HP,4A,HABILIDADES DEL PENSAMIENTO,3,S7 S10 S6 S9 S15,1,2
HP,4B,HABILIDADES DEL PENSAMIENTO,3,S4 S10 S6 S9 S15,1,2
HP,4C,HABILIDADES DEL PENSAMIENTO,3,S4 S10 S6 S9 S15,1,2
STFC,4A,SISTEMAS DE TRANSPORTACION FERROVIARIO Y CARRETERO,5,S9 S10 S6 S7 S15,1,2
STFC,4B,SISTEMAS DE TRANSPORTACION FERROVIARIO Y CARRETERO,5,S4 S10 S6 S9 S15,1,2
STFC,4C,SISTEMAS DE TRANSPORTACION FERROVIARIO Y CARRETERO,5,S15 S10 S6 S9 S7,1,2
MCO,4A,METODOS CUANTITATIVOS DE LA OPTIMIZACION,6,S9 S10 S6 S7 S15,2,2
MCO,4B,METODOS CUANTITATIVOS DE LA OPTIMIZACION,6,S4 S10 S6 S9 S15,2,2
MCO,4C,METODOS CUANTITATIVOS DE LA OPTIMIZACION,6,S4 S3 S10 S6 S9 S15,2,2
TIAT,4A,TI APLICADAS AL TRANSPORTE,6,S9 S10 S6 S7 S15,2,2
TIAT,4B,TI APLICADAS AL TRANSPORTE,6,S4 S10 S6 S9 S15,2,2
TIAT,4C,TI APLICADAS AL TRANSPORTE,6,LL S13,2,2
LP,4A,LOGISTICA DE LA PRODUCCION,5,LL,1,2
LP,4B,LOGISTICA DE LA PRODUCCION,5,LL,1,2
LP,4C,LOGISTICA DE LA PRODUCCION,5,LL,1,2
TGTI4,4A,TUTORIA GRUPAL E INDIVIDUAL,2,S9 S3 S10 S6 S7 S15,1,1
TGTI4,4B,TUTORIA GRUPAL E INDIVIDUAL,2,S9 S3 S10 S6 S7 S15,1,1
TGTI4,4C,TUTORIA GRUPAL E INDIVIDUAL,2,S9 S3 S10 S6 S7 S15,1,1
SCOL,7A,SISTEMAS DE COSTEO EN OPERACIONES LOGISTICAS,5,S6 S7 S10 S9 S15,1,2
SCOL,7B,SISTEMAS DE COSTEO EN OPERACIONES LOGISTICAS,5,S6 S7 S10 S9 S15,1,2
LTS,7A,LOGISTICA Y TRANSPORTE SUSTENTABLE,5,S6 S7 S10 S9 S15,1,2
LTS,7B,LOGISTICA Y TRANSPORTE SUSTENTABLE,5,S6 S7 S10 S9 S15,1,2
MI,7A,METODOLOGIA DE LA INVESTIACION,5,S6 S7 S10 S9 S15,1,2
MI,7B,METODOLOGIA DE LA INVESTIACION,5,S6 S7 S10 S9 S15,1,2
IT,7A,INGENIERIA DE TRANSITO,5,S6 S7 S10 S9 S15,1,2
IT,7B,INGENIERIA DE TRANSITO,5,S6 S7 S10 S9 S15,1,2
CI,7A,COMERCIO INTERNACIONAL,5,S6 S7 S10 S9 S15,1,2
CI,7B,COMERCIO INTERNACIONAL,5,S6 S7 S10 S9 S15,1,2
TGTI7,7A,TUTORIA GRUPAL E INDIVIDUAL,2,S6 S7 S10 S9 S15,1,1
TGTI7,7B,TUTORIA GRUPAL E INDIVIDUAL,2,S6 S7 S10 S9 S15,1,1
SACD,9A,SEMINARIO DE ANALISIS DE CASOS Y DECISIONES,5,S3 S10 S6 S9 S15,1,2
DFI,9A,DISTRIBUCION FISICA INTERNACIONAL,6,S3 S10 S6 S9 S15,1,2
FEP,9A,FORMULACION Y EVALUACION DE PROYECTOS,6,S3 S10 S6 S9 S15,2,2
MTL,9A,MODELOS DE TRANSPORTE Y LOGISTICA,6,S3 S10 S6 S9 S15,3,3
TU,9A,TRANSPORTE URBANO,7,S3 S10 S6 S9 S15,1,2
GDE,9A,GESTION Y DIRECCION DE EMPRESAS,5,S3 S10 S6 S9 S15,1,2
TGTI9,9A,TUTORIA GRUPAL E INDIVIDUAL,2,S3 S10 S6 S9 S15,1,1
